Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
423,503434,MORDAZA JACK-8 PAR 503434,Repuestos,Shimano,12.77027027,0,20.00462838,14.99612838,7/20/2022
424,503447,MORDAZA BR-MT410 SHIMANO ,Repuestos,Shimano,33.62,2,50,45.00037,7/20/2022
425,600539,MARCO 700 ALUMINIO GW VENTOUX CON,Repuestos,GW,185.55,0,280.0042275,219.9788025,7/20/2022
426,600545,MARCO GW PIRANHA 27.5 SM01-874/875/7/876,Repuestos,GW,97.44594686,0,130.0026377,130.0026377,7/20/2022
427,600560,MARCO KIT 29 GW ALUMINIO HAWK,Repuestos,GW,106,0,190.005,159.9964,7/20/2022
428,600560,MARCO KIT 29 GW ALUMINIO HAWK,Repuestos,GW,98.33333365,0,190,190,7/20/2022
429,600567,KIT MARCO 27.5 GW ALUMINIO JACKAL,Repuestos,GW,101.6486474,0,170.0073627,160.0000534,7/20/2022
430,600581,MARCO FOUR - X GW RAVEN,Repuestos,GW,132.0666667,0,190,190,7/20/2022
431,600586,KIT MARCO 29 P GW ALUMINIO LYNX,Repuestos,GW,90.06666704,0,160,160,7/20/2022
432,600650,MARCO KIT GW JACKAL 29 ALUMINIO,Repuestos,GW,92,0,160.0064,139.9964,7/20/2022
433,600650,KIT MARCO 29 GW ALUMINIO JACKAL,Repuestos,GW,90.06666704,0,160,160,7/20/2022
434,601113,ESPACIADOR O LLENO CARBONO,Repuestos,Otras,2.7,0,4,3.502702703,7/20/2022
435,601120,ESPACIADOR  O LLENO ALUMI,Repuestos,Otras,2.14,0,3.003662162,2.50127027,7/20/2022
436,601158,BASE REDUCTORA SUSPENSION CONOCA DE 1.5 A Oversize,Repuestos,Otras,3.19,5,6.005243243,4.002432432,7/20/2022
437,601218,CANA P/GALAPAGO SP-233 A,Repuestos,GW,5.54,0,15.00232,11.00244,7/20/2022
438,601244,ESPIGA PRO RUTA LT OS 31.8 +/-6 GRAD. NEGRA,Repuestos,Otras,25.09459432,1,35.00695908,30.00058751,7/20/2022
439,601287,ESPIGA PRO ALUMINIO LT 31.8,Repuestos,Otras,26.36000147,1,40,40,7/20/2022
440,601360,CANA P/GALAPAGO ALUMINIO PIVOTAL GW SP-AL 181 25.4,Repuestos,GW,7.75,2,15.004,10.99725,7/20/2022
441,601374,ESPIGA AL RUTA RD-2216 31.8-17 70MM,Repuestos,Otras,10.13,3,20.00675,15.99527,7/20/2022
442,601375,"CANA P/GALAPAGO ALUMINIO MTB AD409 31,6*350MM",Repuestos,GW,6.05,0,20.0013,10.995875,7/20/2022
443,601403,"CANA P/GALAPAGO 27,2*350MM ALUMINIO NEGRA",Repuestos,GW,6.54,2,15.0093,11.00028,7/20/2022
444,601442,CAÑA P/GALAPAG0 ALUM NEG,Repuestos,GW,7.6,0,15.00773514,11.00111081,7/20/2022
445,601443,ESPIGA MTB ALMINIO NATURAL A62B 22.2 GW,Repuestos,GW,7.58,1,12.00672,9.00504,7/20/2022
446,601473,"ESPIGA AHEAD DOWNHILL ALU 31,8 408 NEGRA 50MM",Repuestos,GW,12.36,1,20.00466,15.996312,7/20/2022
447,601484,CANA SP-209 (6061) 31.6 350 MM NEGRA GW INSTINC,Repuestos,GW,9.76,3,15,11,7/20/2022
448,601486,CANA SP-209 (6061) 31.6 350 MM NEGRA GW,Repuestos,GW,9.76,4,15.00112,11,7/20/2022
449,601529,CAÑA CARBON WCS LINK FLEXI 31.6/15MM,Repuestos,Otras,128.2000015,0,170,170,7/20/2022
450,601717,ESPIGA MTN TRAIL 31 8 ALUMINIO RITCHEY,Repuestos,Otras,20.23,0,30.00109,25.00428,7/20/2022
451,601723,"ESPIGA ALUMINIO MTB HS06 28,6*31,8*80MM",Repuestos,GW,5.1,0,10.0062,5.9976,7/20/2022
452,602000,GUANTE ANTIDESLIZANTE ADRIANNI,Accesorios,Adrianny,8.6,0,12.0056,10.0018,7/20/2022
453,602440,UNAS MARCO GW-F143 LINCE,Repuestos,Otras,4.93,10,8.00632,6.50267,7/20/2022
454,602444,UNAS TRASERAS P/MARCOS SR02-281 LUMEN,Repuestos,Otras,4.93,20,8.00632,6.50267,7/20/2022
455,602445,UÑAS P/MARCOS LUMEN SR02-282,Repuestos,GW,4.432433973,4,8.000543321,6.502380638,7/20/2022
456,602455,"UNAS P/MARCO KIT 26P ELITE /TERRAIN 27,5 SCORPION",Repuestos,Otras,4.93,16,8.00632,6.50267,7/20/2022
457,602460,UNA P/MARCO SCORPIO 26/29 EN ALUMINIO,Repuestos,Otras,4.93,11,8.00632,6.50267,7/20/2022
458,602462,UÑAS P/MARCOS ALUMINIO GW RAVEN,Repuestos,GW,14.51351254,2,22.00974177,17.50039342,7/20/2022
459,602464,UNA P/MARCO VELETA GW ALUMINIO,Repuestos,Otras,4.43,11,8.000540541,7.003243243,7/20/2022
460,602467,UÑAS P/MARCOS ALLIGATOR 27.5/29 2018,Repuestos,GW,4.432433973,4,8.000543321,7.003245677,7/20/2022
461,602475,UNAS P/MARCOS ALUMINIO GW LYNX 2021 26/27/29,Repuestos,Otras,4.16,7,8.003837838,6.996594595,7/20/2022
462,602630,Creatine X3 Six Star,Nutricion,Otras,12.6679,0,20.0026141,20.0026141,7/20/2022
463,602761,UÑAS P/MARCO TA12 - SW CARBON,Repuestos,Otras,26.28378384,0,35.00474332,30.00293925,7/20/2022
464,602838,UÑA TRESERA P/MARCO SPEEDSTER,Repuestos,Otras,6.675676054,2,10.00016273,8.501473455,7/20/2022
465,602840,UÑA TRASERA P/MARCO SCALE/ASPECT,Repuestos,Otras,7.486487378,3,11.00513645,9.006244316,7/20/2022
466,603412,ABRAZADERA PRO 34.9MM QUICK RELEASE,Repuestos,Otras,8.325332507,1,13,13,7/20/2022
467,603423,ABRAZADERAS AT-165 31.8/35.0 GW NEGRAS,Repuestos,Otras,4.95,0,7.00425,6.00435,7/20/2022
468,604103,MANUBRIO AUMIN RUTA CMP LOGIC II NEGRO,Repuestos,Otras,22.73,0,35.0042,28.00336,7/20/2022
